Title,Abstract
"Tropical Coastal Land-Use and Land Cover Changes Impact on Ecosystem Service Value during Rapid Urbanization of Benin, West Africa","West African coastal areas including the Beninese coastal zones have undergone an intensification of socio-economic activity in the last few decades that has been strongly driven by the effects of rapid urbanization. This has led to land-use and land cover changes that represent threats to the sustainability of various ecosystem functions. Such dynamics of land use and land cover changes pose challenges to coastal zone management. Correct assessment is vital for policymakers and planners to ensure efficient and sustainable use of the coastal ecosystem services, and it remains crucial to achieving sustainable coastal zone management. This study examines changes in land-use and land cover (LULC) and their impacts on ecosystem services value (ESV) fluctuations in the tropical coastal region of Benin, West Africa. We employed Globe Land 30 image data for the years 2010 and 2020, and the ESV fluctuations during the study period were evaluated using the benefit transfer approach (BTA) with corresponding local coefficients values and the GIS techniques. The results reveal that (1) in the current urbanizing coastal area, the LULC types have changed significantly, with obvious reductions in forest land and waterbodies and a considerable increase in artificial surfaces;
(2) the total ESV decreased by 8.51% from USD 7.1557 million in 2010 to USD 6.5941 million in 2020;
(3) the intensity of LULC in the coastal region has increased over the last 10 years; (4) regions with high land-use intensity have a high rate of ESV change; and (5) provisioning services are the greatest contributors of ESV (51% in 2010; 41% in 2020), followed by supporting services (37% in 2010; 35% in 2020) and regulating services (25% in 2010; 30% in 2020). Uncontrolled changes in LULC from forest land and waterbodies are the main causes of the loss in total ESV, necessitating urgent measures to improve the coastal ecosystem sustainability through effective planning and policies."
"Impact of land use and land cover change on the environmental quality of a region: A case of Ernakulam district in Kerala, India","The increasing urbanisation trend over the decades has resulted in the rapid transformation of land use and land cover (LULC) patterns worldwide. One of the significant consequences of such an uncontrolled conversion process is on the environmental quality (EQ) of the regions, which needs to be addressed. Hence, the present study attempts to derive the environmental quality index (EQI) to measure the impact of LULC along a rapidly urbanising region. The study was divided into three phases. Firstly, the relevant variables were systematically identified from the literature and screened based on relevance, redundancy, context, and scale of the study. The variables then were finalised based on data availability and expert suggestions. The selected variables were grouped under biophysical, LULC, and socio-economic domains. Secondly, using remote sensing and geographic information system (GIS) techniques, LULC analysis was performed and the bio-physical variables were processed. The LULC maps (with five classes: water body, settlements, hill, forest, and agriculture) were prepared for the study region for 2000, 2009, and 2019 from Landsat images using a supervised classification algorithm. The LULC analysis showed an increase in the settlement over the past two decades. The relationship between the bio-physical indicators, namely, land surface temperature (LST), normalised difference vegetation index, and normalised difference built-up index (NDBI), was also established to examine the general perception that the increase in urbanisation is one of the main causes for the increase in LST of a region. The correlation indicated that the LST Impact of land use and land cover change on the environmental quality of a region: A case of Ernakulam district in Kerala, India 103"
The Global 2000-2020 Land Cover and Land Use Change Dataset Derived From the Landsat Archive: First Results,"Recent advances in Landsat archive data processing and characterization enhanced our capacity to map land cover and land use globally with higher precision, temporal frequency, and thematic detail. Here, we present the first results from a project aimed at annual multidecadal land monitoring providing critical information for tracking global progress towards sustainable development. The global 30-m spatial resolution dataset quantifies changes in forest extent and height, cropland, built-up lands, surface water, and perennial snow and ice extent from the year 2000 to 2020. Landsat Analysis Ready Data served as an input for land cover and use mapping. Each thematic product was independently derived using locally and regionally calibrated machine learning tools. Thematic maps validation using a statistical sample of reference data confirmed their high accuracy (user's and producer's accuracies above 85% for all land cover and land use themes, except for built-up lands). Our results revealed dramatic changes in global land cover and land use over the past 20 years. The bitemporal dataset is publicly available and serves as a first input for the global land monitoring system."
Assessment of land use land cover change and its effects using artificial neural network-based cellular automation,"The challenge of urban growth and land use land cover (LULC) change is particularly critical in developing countries. The use of remote sensing and GIS has helped to generate LULC thematic maps, which have proven immensely valuable in resource and land-use management, facilitating sustainable development by balancing developmental interests and conservation measures. The research utilized socioeconomic and spatial variables such as slope, elevation, distance from streams, distance from roads, distance from built-up areas, and distance from the center of town to determine their impact on the LULC of 2016 and 2019. The research integrates Artificial Neural Network with Cellular Automta to forecast and establish potential land use changes for the years 2025 and 2040. Comparison between the predicted and actual LULC maps of 2022 indicates high agreement with kappa hat of 0.77 and a percentage of correctness of 86.83%. The study indicates that the built-up area will increase by 8.37 km 2 by 2040, resulting in a reduction of 7.08 km 2 and 1.16 km 2 in protected and agricultural areas, respectively. These findings will assist urban planners and lawmakers to adopt management and conservation strategies that balance urban expansion and conservation of natural resources leading to the sustainable development of the cities."
"Vegetation Trends, Drought Severity and Land Use-Land Cover Change during the Growing Season in Semi-Arid Contexts","Drought severity and impact assessments are necessary to effectively monitor droughts in semi-arid contexts. However, little is known about the influence land use-land cover (LULC) has-in terms of the differences in annual sizes and configurations-on drought effects. Coupling remote sensing and Geographic Information System techniques, drought evolution was assessed and mapped. During the growing season, drought severity and the effects on LULC were examined and whether these differed between areas of land change and persistence. This study used areas of economic importance to Botswana as case studies. Vegetation Condition Index, derived from Normalised Difference Vegetation Index time series for the growing seasons (2000-2018 in  comparison to 2020-2021), was used to assess droughts for 17 constituencies (Botswana's fourth administrative level) in the Central District of Botswana. Further analyses by LULC types and land change highlighted the vulnerability of both human and natural systems to drought. Identified drought periods in the time series correspond to declared drought years by the Botswana government. Drought severity (extreme, severe, moderate and mild) and the percentage of land areas affected varied in both space and time. The growing seasons of 2002-2003, 2003-2004 and 2015-2016  were the most drought-stricken in the entire time series, coinciding with the El Niño southern oscillation (ENSO). The lower-than-normal vegetation productivity during these growing seasons was evident from the analysis. With the above-normal vegetation productivity in the ongoing season (2020-2021), the results suggest the reversal of the negative vegetation trends observed in the preceding growing seasons. However, the extent of this reversal cannot be confidently ascertained with the season still ongoing. Relating drought severity and intensities to LULC and change in selected drought years revealed that most lands affected by extreme and severe drought (in descending order) were in tree-covered areas (forests and woodlands), grassland/rangelands and croplands. These LULC types were the most affected as extreme drought intersected vegetation productivity decline. The most impacted constituencies according to drought severity and the number of drought events were Mahalapye west (eight), Mahalapye east (seven) and Boteti west (seven). Other constituencies experienced between six and two drought events of varying durations throughout the time series. Since not all constituencies were affected similarly during declared droughts, studies such as this contribute to devising appropriate context-specific responses aimed at minimising drought impacts on social-ecological systems. The methodology utilised can apply to other drylands where climatic and socioeconomic contexts are similar to those of Botswana."
"Detecting and Analyzing Land Use and Land Cover Changes in the Region of Al-Jabal Al-Akhdar, Libya Using Time-Series Landsat Data from 1985 to 2017","The region of Al-Jabal Al-Akhdar in northeastern Libya has undergone rapid, wide-ranging changes in the land use and land cover (LULC) intensified by the conversion of natural resources for food purpose, urbanization, and other socioeconomic benefits. This study examined the use of geographic information system (GIS) and remote sensing techniques to gain a quantitative understanding of the spatiotemporal dynamics of LULC. In addition, the major factors behind LULC changes and decline of natural vegetation in the region were analyzed. A post-classification comparison approach was used to detect LULC changes in the study area between 1985 and 2017 using four Landsat images from 1985, 2000, 2010, and 2017. The observed changes were indicative of a decrease in the expanse of the natural Mediterranean forest which lost 9018 ha over 32 years, 39% of its total area, with the highest deforestation rate registered between 2010 and 2017 estimated at 513 ha. year -1 . Orchards and rain-fed agriculture lands gained 4095 ha, which matches 55% of initial area, whereas the land under irrigated crops increased by 2266 ha, about 85% of the original area. The area of urban and built-up land in 2017 was more than double in 1985 and achieved the highest urbanization rate between 2010 and 2017 at 203 ha.year -1 . Results indicate an unstable trend of bare and low vegetation lands which generally increased by about 50%. From the outcomes of this research, it is strongly recommended that urgent measures be taken to conserve the natural forest and to achieve a rational use of agricultural land in the region of Al-Jabal Al-Akhdar."
"Dynamic World, Near real-time global 10 m land use land cover mapping","Unlike satellite images, which are typically acquired and processed in near-real-time, global land cover products have historically been produced on an annual basis, often with substantial lag times between image processing and dataset release. We developed a new automated approach for globally consistent, high resolution, near real-time (NRT) land use land cover (LULC) classification leveraging deep learning on 10 m Sentinel-2 imagery. We utilize a highly scalable cloud-based system to apply this approach and provide an open, continuous feed of LULC predictions in parallel with Sentinel-2 acquisitions. This first-of-its-kind NRT product, which we collectively refer to as Dynamic World, accommodates a variety of user needs ranging from extremely up-to-date LULC data to custom global composites representing user-specified date ranges. Furthermore, the continuous nature of the product's outputs enables refinement, extension, and even redefinition of the LULC classification. In combination, these unique attributes enable unprecedented flexibility for a diverse community of users across a variety of disciplines."
A review on change detection method and accuracy assessment for land use land cover,"The assessment of land use land cover change is extremely important for understanding the relationship between humans and nature. The enormous changes at a regional scale and advancements in technology have encouraged researchers to gather more information. The remote sensing technology and GIS tools cooperatively have made it easier to monitor the changes in land use land cover (LULC) from past to present. This technology has unraveled the changes at the regional and global level and has also contributed tremendous benefits to the scientific community. A variety of change detection algorithms have been used in the history of remote sensing to detect changes at earth's surface and newer techniques are still in process. The data from remote sensing satellites are the primary sources that provide an opportunity to acquire information about LULC change in recent decades, which extensively use different algorithms according to the research needs. The selection of appropriate change detection method is highly recommended in every remote sensing project. This review paper begins with the traditional pre and post-classification change detection techniques related to LULC information at the regional level. Therefore, this paper evaluated the mostly used change detection method among all others to find remarkable results. Thus the review concludes the post-classification change detection method using maximum likelihood classifier (MLC) supervised classification is applicable in all cases. The comparative analysis was also performed in a selected region having multiple land features during review in which MLC results best in comparison to others. MLC is the most commonly used technique from the past till present that has achieved high accuracy in all regions comparatively to other techniques."
Land-use change is associated with multi-century loss of elephant ecosystems in Asia,"Understanding historic patterns of land use and land cover change across large temporal and spatial scales is critical for developing effective biodiversity conservation management and policy. We quantify the extent and fragmentation of suitable habitat across the continental range of Asian elephants (Elephas maximus) based on present-day occurrence data and land-use variables between 850 and 2015 A.D. We found that following centuries of relative stability, over 64% (3.36 million km 2 ) of suitable elephant habitat across Asia was lost since the year 1700, coincident with colonial-era land-use practices in South Asia and subsequent agricultural intensification in Southeast Asia. Average patch size dropped 83% from approximately 99,000-16,000 km 2 and the area occupied by the largest patch decreased 83% from ~ 4 million km 2 (45% of area) to 54,000 km 2 (~ 7.5% of area). Whereas 100% of the area within 100 km of the current elephant range could have been considered suitable habitat in the year 1700, over half was unsuitable by 2015, driving potential conflict with people. These losses reflect long-term decline of non-forested ecosystems, exceeding estimates of deforestation within this century. Societies must consider ecological histories in addition to proximate threats to develop more just and sustainable land-use and conservation strategies.
Habitat loss and degradation are leading drivers of terrestrial biodiversity loss worldwide 1-3 . An estimated three quarters of the Earth's land surface has been significantly altered by human activities 4 . Historic reasons include conversion for cultivation and settlement, reflecting both local and global socioeconomic drivers of land-use and land-cover (LULC) change 
Although LULC trends in recent decades may be inferred from satellite imagery and statistical data 2,7,8 , it remains difficult to assess the impact of long-term anthropogenic processes on particular species or ecosystems. Human-induced changes are known to restrict the ranges of many terrestrial mammal species 9,10 but historical records on population abundance and distribution are often limited for many taxa, complicating efforts to assess impacts over longer periods. Nevertheless, longer historical perspectives are necessary to appreciate the true magnitude of changes to threatened ecosystems. For example, historical studies have influenced conservation policies related to remnant prairies in Oregon, wetlands in Iowa, and forests in Germany, at times challenging standard management practices 11 .
One way to overcome these data gaps is through ecological niche models (see also species distribution models), in which species occurrence data, together with environmental covariates, are used to infer possible occurrence or suitable habitat at a different area or time"
Global land use changes are four times greater than previously estimated,"Quantifying the dynamics of land use change is critical in tackling global societal challenges such as food security, climate change, and biodiversity loss. Here we analyse the dynamics of global land use change at an unprecedented spatial resolution by combining multiple open data streams (remote sensing, reconstructions and statistics) to create the HIstoric Land Dynamics Assessment + (HILDA +). We estimate that land use change has affected almost a third (32%) of the global land area in just six decades (1960-2019) and, thus, is around four times greater in extent than previously estimated from long-term land change assessments. We also identify geographically diverging land use change processes, with afforestation and cropland abandonment in the Global North and deforestation and agricultural expansion in the South. Here, we show that observed phases of accelerating (~1960-2005) and decelerating (2006-2019) land use change can be explained by the effects of global trade on agricultural production."
Remote Sensing of Environment,High-resolution wall-to-wall land-cover mapping and land change assessment for Australia from 1985 to 2015
"Spatial relationship between land-use/land-cover change and land surface temperature in the Dongting Lake area, china","the Dongting Lake area (china) is a climate change-sensitive and ecologically fragile area and plays a crucial role in the regulation of the regional climate. in recent decades, rapid social and economic development has led to increased land use/land cover (LULc) changes in the Dongting Lake area, which affect the surface energy balance and hydrological processes. Its contemporary variability under climate change remains highly uncertain. therefore, we retrieved the Land surface temperature (LSt) from the Landsat 7 data and explored its relationship with the LULC types. The results showed that LST is significantly affected by surface type. LST varied significantly across LULC types, with higher LSTs in built-up land, reed beach land, forest land, and paddy fields than in water bodies, mud beaches, marshlands, and riparian forests. Water bodies play an important regulatory role in reducing LSt and mitigating thermal effects on the ground. The winter LST in the study area increased by approximately 3.5 °C, which may be related to the decrease in the area of Dongting Lake water bodies, water fields and reed flats after the Three Gorges Reservoir was impounded. Compared with the relationship between the nDVi, DeM, and distance from the water body, the negative correlation between the nDMi and LST was stronger and more stable and had the greatest effect on LST. These insights improve the understanding of the land change consequences on the temporal dynamics of LSt.
Land surface temperature (LST) is a reflection of the energy flow in the interactions between the land surface and atmosphere and between the land surface and biosphere. The change in LST is an intuitive regional climate response to global climate change and has important research significance in agriculture, hydrology, ecology, environment, climate, and biogeochemistry1 1-6 . LULC is the interface between the atmosphere and biosphere for material and energy exchange and has a clear influence on LST. Currently, a wide consensus has been reached on the influence of LULC change on regional climate through various processes, such as water and heat flux between land and air 7 , surface wind speed, and boundary layer turbulence8 
Although the use of meteorological data for regional climate change research has progressed, meteorological data are difficult to obtain, and data accuracy is dependent on the site and the scope of the investigation, resulting in difficulties in achieving large-scale and long-term research. Compared with traditional observation methods used at meteorological stations, monitoring LST with remote sensing offers the advantages of a wide observation range and strong spatial continuity. Thus, this monitoring has developed rapidly in thermal environment"
"Trees, Forests and People","The present study examines the land use land cover (LULC) and change detection impacts on forest ecosystem in Achanakmaar Amarkantak Biosphere Reserve (AABR -area 626.76 km 2 ) of Central India. Results revealed that there has been a change in AABR land use pattern from 2008 to 2018. The major changes include loss of 19.72 km 2 of vegetation cover in various forest types due to increasing biotic interference and over grazing, conversion of 14.77 km 2 of Dense Sal mixed forest to open mixed forest and cultivable land, and 5.0 km 2 teak plantation and Bamboo brakes to agricultural land. Despite losing many plant species due to anthropogenic pressure, the present study found that the AABR as a unique repository of plant species rich in biodiversity. Many spots of this area are invaded or replaced by exotic species which is causing the loss of ecology and diversity of this region. Based on our study Sal mixed forest reduced by 2.88% (5.23 km 2 ), Dense mixed forest 4.02% (9.54 km 2 ), Teak plantation 6.77% (2.61 km 2 ) and Bamboo brakes reduced by 7.66% (2.34 km 2 ). The study concludes that the Landsat 7 TM and Resourcesat 2A satellite images are the most suitable for studying the LULC change on forest ecosystem of AABR. We advocate that by adopting the rigorous conservation measures, especially in open & dense forest and young under-stocked teak forests can restore the vegetation density and diversity in the area. Moreover, Sal natural regeneration of vegetation would remain crucial, and invasion of exotic species over native species needs to be restored in the forest area. Such findings on major changes occurring in forest ecosystem hold tremendous implications in relation to the welfare of the resource-poor tribal communities who are greatly dependent on the natural resources available in AABR for their livelihood."
"Analysis of carbon emissions from land cover change during 2000 to 2020 in Shandong Province, China","Land cover change affects the carbon emissions of ecosystems in some way. The qualitative and quantitative understanding of carbon emissions from human activities (e.g., land cover change, industrial production, etc.) is highly significant for realizing the objective of carbon neutrality. Therefore, this paper used GlobeLand30 land cover maps, annual average normalised difference vegetation index (NDVI) data, annual average net ecosystem productivity (NEP) data and statistical yearbook data from 2000 to 2020 to explore the relationship between land cover change and carbon emissions. Specifically, it included land cover change, carbon storage changes influenced by land cover change, spatial and temporal analysis of carbon sources and sinks, land use intensity change and anthropogenic carbon emissions. The results of the study show that the main land cover changes in Shandong province during 2000-2020 was cultivated land conversion to artificial surfaces. Among them, the area of cultivated land converted to artificial surfaces from 2000 to 2010 was 4930.62 km 2 , and the proportion of cultivated land converted to artificial surfaces from 2010 to 2020 was as high as 78.35%. The total carbon stock of vegetation affected by land cover change decreased by 463.96 × 10 4 t and 193.50 × 10 4 t in 2000-2010 and 2010-2020 respectively. The spatial and temporal distribution of carbon sources and sinks differed more markedly from 2000 to 2020, and land use intensity changes in Shandong Province showed an upward trend. Of the total energy production, industry has the largest energy consumption, followed closely by total energy consumption in transportation, storage and postal services.
Phenomena such as global warming, melting glaciers, rising sea levels and hazy weather indicate that climate change brought about by the greenhouse effect is seriously affecting the future survival of mankind 1-3 . The Earth's climate is witnessing changes due to the influence of various factors. In recent years, global warming has become a hot issue for research. Emissions of greenhouse gases, e.g., carbon dioxide (CO 2 ) emissions, are regarded as a major contributor to global warming 4-6 . Studies have shown that the global average surface temperature has increased by 0.74 °C since the last century 7 , and atmospheric CO 2 concentrations have increased by up to 1.9 ppm per year 8 . The Global Carbon Budget Project shows that emissions of fossil CO 2 will increase by 0.5% in 2019, with emissions falling in the US and EU28 and increasing in China, India and the rest of the world 9 . With increasing levels of urbanisation and industrialisation, human activities are emitting large amounts of CO 2 into the atmosphere. Of these, land cover change is an important contributor to carbon emissions, making up roughly one-third of the carbon emissions generated by human activities from the industrial revolution 10 , contributing to increasing concentrations of CO 2 . Therefore, the study of the interrelationship between land cover change and carbon emissions is of great importance to further reduce carbon emissions.
The implementation of the reform and opening-up policy has led to a significant acceleration of urbanisation in China, most notably the dramatic expansion of artificial surfaces. Land cover change, energy consumption and other related human activities are the sources of carbon emissions and account for a relatively large share. Rapid economic development and high urbanisation levels in China's cities are hotspots for studying carbon emissions caused by land cover change. For example, Deng et al. analysed the influence of expanding construction land on carbon emissions related to energy in China and its provinces from 2001 to 2011 11 . Lu et al. explored the development process and characteristics of regional differences in carbon emissions from agricultural land in 31"
"Predicting the Future Land Use and Land Cover Changes for Bhavani Basin, Tamil Nadu, India Using QGIS MOLUSCE Plugin","Human population growth, movement, and 9 demand have a substantial impact on land use 10 and land cover dynamics. Thematic maps of land 11 use and land cover (LULC) serve as a reference 12 for scrutinizing, source administration, and 13 forecasting, making it easier to establish plans 14 that balance preservation, competing uses, and 15 growth compressions. The objective of this study 16 is to identify the changeover of land-use changes 17 in the Bhavani basin for the two periods 2005 18 and 2015, as well as to forecast and establish 19 potential land-use changes in the year 2025 and 20 2030 by using QGIS 2.18.24 version MOLUSCE"
Comprehensive review on land use/land cover change classification in remote sensing,"Research in the field of remote sensing of the environment is valuable and informative. Hyperspectral (HSP) and multispectral (MSP) satellite images have been used for different remote sensing applications. Land Use/Land Cover (LU/LC) change classification has been considered as important research in the field of remote sensing environment. This review aims to identify the various LU/LC applications, remote sensing satellites, geospatial software, pre-processing techniques, LU/LC classification, clustering, spectral unmixing, landscape change models and evaluation metrics. The main objective of this review is to present the more frequently used techniques for analysing LU/LC change with MSP and HSP satellite images. An aim of this review is to motivate future researchers to work efficiently with MSP and HSP satellite images in the field of remote sensing."
"Analysis and prediction of land cover changes using the land change modeler (LCM) in a semiarid river basin, Iran","Predicting future land cover (LC) changes is an important step in the proper planning and management of watersheds. As a susceptible area to salinity and desertification, receiving only about 195 mm rainfall annually, the Hable-Rud River basin is especially sensitive to land use/cover changes. Based on corrected LANDSAT satellite images for the years 1986, 2000, and 2017, the LC were extracted using the maximum likelihood (ML) method. LC changes were predicted by applying the land change modeler (LCM) for the basin. The kappa index for classification in 1986, 2000, and 2017 was 75, 78, and 81%, respectively. Using LCM, the prediction was accomplished for the year 2017 with a kappa index of above 74%. The LC map was predicted for year 2040. The analysis indicates that over the past 32 years, bare land, saline land, agricultural, industrial, and residential areas have increased by about 8, 6.2, 2.7, 0.63, and 0.48%, respectively; while rangeland area was decreased by 18%. Results also indicate that given the predicted LC for year 2040 in comparison with the reference year (2017), saline land, agricultural, industrial, and residential areas will be likely to continue to increase by about 3, 1.5, 0.7, and 0.8%, respectively, whereas bare land and rangeland will most likely decrease by about 4.55 and 1.45%, respectively. The findings of this study assist in analyzing the future trends of LC changes in the basin. This information can be used as a guide for land planners and managers in future land use planning of the area."
Assessment of land use and land cover changes in Kenya's Mt. Elgon forest ecosystem,"Current land-use trends in Kenya's montane forest ecosystems show that land uses are changing fast due to natural and anthropogenic factors and these changes could have devastating effects on the environment. One such montane forest is the transboundary Mt. Elgon forest located in western Kenya. This study analysed trends in land use-land cover changes in Mt. Elgon forest ecosystem over the last 45 years. Landsat imageries downloaded from the United States Geological Survey archives were used to assess land use-land cover changes between 1973 and 2019 by applying supervised classification using Arc GIS 10.5. The IDRISI Selva 17.0 was used to calculate area under different land uses and generate change maps. The major Land Use-Land Cover (LULC) classified were mixed farming, natural forests, planted for-"
"Flooding and its relationship with land cover change, population growth, and road density","This is a PDF file of an article that has undergone enhancements after acceptance, such as the addition of a cover page and metadata, and formatting for readability, but it is not yet the definitive version of record. This version will undergo additional copyediting, typesetting and review before it is published in its final form, but we are providing this version to give early visibility of the article. Please note that, during the production process, errors may be discovered which could affect the content, and all legal disclaimers that apply to the journal pertain."
Landsat Analysis Ready Data for Global Land Cover and Land Cover Change Mapping,"The multi-decadal Landsat data record is a unique tool for global land cover and land use change analysis. However, the large volume of the Landsat image archive and inconsistent coverage of clear-sky observations hamper land cover monitoring at large geographic extent. Here, we present a consistently processed and temporally aggregated Landsat Analysis Ready Data produced by the Global Land Analysis and Discovery team at the University of Maryland (GLAD ARD) suitable for national to global empirical land cover mapping and change detection. The GLAD ARD represent a 16-day time-series of tiled Landsat normalized surface reflectance from 1997 to present, updated annually, and designed for land cover monitoring at global to local scales. A set of tools for multi-temporal data processing and characterization using machine learning provided with GLAD ARD serves as an end-to-end solution for Landsat-based natural resource assessment and monitoring. The GLAD ARD data and tools have been implemented at the national, regional, and global extent for water, forest, and crop mapping. The GLAD ARD data and tools are available at the GLAD website for free access."
"Assessing land use and land cover change detection using remote sensing in the Lake Tana Basin, Northwest Ethiopia",
Land Cover Change Detection Techniques,"2 0274-6638/21©2021IEEE IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE MONTH 2021
L and cover change detection (LCCD) with remote sens- ing images is an important application of Earth observation data because it provides insights into environmental health, global warming, and city management. In particular, very-high-resolution (VHR) remote sensing images can capture details of a ground object and offer an opportunity to detect land cover changes in detail.
However, VHR images usually have high spatial resolution but contain limited spectral information. Therefore, LCCD with VHR optimal images performs poorly because of high intraclass variation and low interclass variance. In the past decades, various approaches have been promoted to smoothen noise, reduce pseudochanges, and preserve the details of detection maps with VHR images.
In this article, we first present an overview of the main issues in terms of algorithms, applications, and referred characteristics to promote a comprehensive and general understanding of the development of LCCD with VHR remote sensing images. Several key methodologies are compared with three pairs of real VHR optimal images. Finally, we discuss future challenges and opportunities in applying VHR remote sensing images in LCCD."
Detection of land use/cover change in Egyptian Nile Delta using remote sensing,"The present study aims to assess the changes of different land use/land cover classes for Nile Delta of Egypt during the period from 1987 to 2015, to evaluate the impact of land cover change and urban sprawl, before, during and after the 25th of January 2011 using remote sensing and GIS techniques, as a result to unplanned urban sprawl which was done by people during the lack of general security of Egyptian revolution. The results indicated that there was a regular trend characterized in most classes and that the change in different land use/land cover classes ranged between increase and decrease areas. A continuous increase in agricultural, urban, fish farms and natural vegetation areas and a continuous decrease in water bodies and sand areas were detected in the studied area. The agricultural area recorded the highest increase during the period from 1987 to 2000 (305296.1 ha.) while it increased by 170578.1 ha., during the period from 2000 to 2015. However, in urban area, the highest increase was recorded during the period from 2000 to 2015 followed by the period 1987-2000 with mean values of 97940.8 and 53112.6 ha., respectively. The analysis of the results showed that most of Egyptian Delta governorates have been significantly affected by the different classes of land use/land cover change due to agriculture activities, urban growth as a result of human activities dynamic impact."
Land use and land cover change dynamics of Uzbekistan: a review,"Land use and land cover change (LULCC) is a dynamic process that shapes landscapes, ecosystems, and human societies. In the context of Uzbekistan, a country in Central Asia, LULCC has been driven by a complex interplay of socio-economic, political, and environmental factors. This review provides a comprehensive analysis of the historical trajectories, drivers, and implications of LULCC in Uzbekistan. Through the synthesis of diverse data sources including remote sensing imagery, government reports, and peer-reviewed literature, we trace the evolution of land use patterns over time. Agricultural expansion and industrial development have reshaped land cover, impacting biodiversity and ecosystem services. We discuss the intricate web of drivers behind these changes, encompassing demographic shifts, policy alterations, and economic priorities. Moreover, we explore the socio-economic consequences of LULCC, addressing both opportunities and challenges posed by urbanization and agricultural intensification. The interactions between LULCC and climate patterns are examined, underlining the need for climate-conscious land use planning. Drawing on these insights, we emphasize the importance of sustainable land management and evidence-based policy formulation to mitigate negative impacts and maximize benefits. This review underscores the need for continued research, adaptive strategies, and collaborative efforts to address the complex and evolving dynamics of LULCC in Uzbekistan."
"Investigating impact of land-use and land cover changes on hydro-ecological balance using GIS: insights from IIT Bombay, India","The present study, for the first time, examined land-use land cover (LULC), changes using GIS, between 2000 and 2018 for the IIT Bombay campus, India. Objective was to evaluate hydro-ecological balance inside campus by determining spatio-temporal disparity between hydrological parameters (rainfall-runoff processes), ecological components (forest, vegetation, lake, barren land), and anthropogenic stressors (urbanization and encroachments). High-resolution satellite imageries were generated for the campus using Google Earth Pro, by manual supervised classification method. Rainfall patterns were studied using secondary data sources, and surface runoff was estimated using SCS-CN method. Additionally, reconnaissance surveys, ground-truthing, and qualitative investigations were conducted to validate LULC changes and hydro-ecological stability. LULC of 2018 showed forest, having an area cover of 52%, as the most dominating land use followed by built-up (43%). Results indicated that the area under built-up increased by 40% and playground by 7%. Despite rapid construction activities, forest cover and Powai lake remained unaffected. This anomaly was attributed to the drastically declining barren land area (up to ~ 98%) encompassing additional construction activities. Sustainability of the campus was demonstrated with appropriate measures undertaken to mitigate negative consequences of unwarranted floods owing to the rise of 6% in the forest cover and a decline of 21% in water hyacinth cover over Powai lake. Due to this, surface runoff (~ 61% of the rainfall) was observed approximately consistent and being managed appropriately despite major alterations in the LULC. Study concluded that systematic campus design with effective implementation of green initiatives can maintain a hydro-ecological balance without distressing the environmental services."
Impact of Land Cover Changes on Land Surface Temperature and Human Thermal Comfort in Dhaka City of Bangladesh,"Urbanization leads to the construction of various urban infrastructures in the city area for residency, transportation, industry, and other purposes, which causes major land use change. Consequently, it substantially affects Land Surface Temperature (LST) by unbalancing the surface energy budget. Higher LST in city areas decreases human thermal comfort for the city dwellers and affects the urban environment and ecosystem. Therefore, a comprehensive investigation is needed to evaluate the impact of land use change on the LST. Remote Sensing (RS) and Geographic Information System (GIS) techniques were used for the detailed investigation. RS data for the years 1993, 2007 and 2020 during summer (March-May) in Dhaka city were used to prepare land cover maps, analyze LST, generate hazard maps and relate the land cover change with LST by using GIS. The results show that the built-up area in Dhaka city increased by 67% from 1993 to 2020 by replacing lowland mainly, followed by vegetation, bare soil and water bodies. LSTs found in the study area were ranged from 23."
Land-Use Land-Cover Classification by Machine Learning Classifiers for Satellite Observations-A Review,"Rapid and uncontrolled population growth along with economic and industrial development, especially in developing countries during the late twentieth and early twenty-first centuries, have increased the rate of land-use/land-cover (LULC) change many times. Since quantitative assessment of changes in LULC is one of the most efficient means to understand and manage the land transformation, there is a need to examine the accuracy of different algorithms for LULC mapping in order to identify the best classifier for further applications of earth observations. In this article, six machine-learning algorithms, namely random forest (RF), support vector machine (SVM), artificial neural network (ANN), fuzzy adaptive resonance theory-supervised predictive mapping (Fuzzy ARTMAP), spectral angle mapper (SAM) and Mahalanobis distance (MD) were examined. Accuracy assessment was performed by using Kappa coefficient, receiver operational curve (RoC), index-based validation and root mean square error (RMSE). Results of Kappa coefficient show that all the classifiers have a similar accuracy level with minor variation, but the RF algorithm has the highest accuracy of 0.89 and the MD algorithm (parametric classifier) has the least accuracy of 0.82. In addition, the index-based LULC and visual cross-validation show that the RF algorithm (correlations between RF and normalised differentiation water index, normalised differentiation vegetation index and normalised differentiation built-up index are 0.96, 0.99 and 1, respectively, at 0.05 level of significance) has the highest accuracy level in comparison to the other classifiers adopted. Findings from the literature also proved that ANN and RF algorithms are the best LULC classifiers, although a non-parametric classifier like SAM (Kappa coefficient 0.84; area under curve (AUC) 0.85) has a better and consistent accuracy level than the other machine-learning algorithms. Finally, this review concludes that the RF algorithm is the best machine-learning LULC classifier, among the six examined algorithms although it is necessary to further test the RF algorithm in different morphoclimatic conditions in the future."
