Unnamed: 0,id_segment,text_segment,relevance_label,relevance_type_norm
17,1-s2.0-S0140196310000893-main_18a,"Furthermore, issues such as state politics, market incentives, climate variations, and access to land and resources are generally acknowledged factors determining the trajectory of change .' , 'ref':",1,DRIVERS
18,1-s2.0-S0140196310000893-main_18b,"'The assessment of fire regimes across broad territories is carried out efficiently by means of data obtained by remote sensing such as MODIS fire data, that are specifically designed for this purpose",0,
19,1-s2.0-S0301479717300713-main_796,"Impact on resources P12:"", 'table': None , ' ' type': 'table', ' xml:id': 'tab 16', 'head': None, 'label': None, 'figDesc': 'P8: So I think, you call it migration People have come in to work because there are opening up new institutions and government agencies. You have a lot of people even from this community or from Bolgatanga who are in the South, working in the South",0,
20,1-s2.0-S0301479717300713-main_489,"As a driver.', "" You know, when we have flooding, extreme weather events of flooding can also when there is flood standing on the soil surface for longer timethis can also degrade the soil",0,
21,1-s2.0-S235198941500102X-main_247,"P6: From my perspective, the aspect that is degrading the land is including the fire P7: But that aspect where people don 't want to plant s is because of the bush fires",1,DRIVERS
22,1-s2.0-S0006320709005400-main_200,", implying that in this region significant opportunities to protect biodiversity exist in the absence of extensive human modification",0,
23,1-s2.0-S0140196322000143-main_275,"As quoted by the higher the intensity, the lower the fire frequency: indeed our results attest the high frequency of fire inside protected areas and on gravelly soils and hardpan complexes unsuitable for",1,DRIVERS
24,1-s2.0-S0304387816300670-main_107a,"However, diverging expert statements were made on bush fires as driver of mentioned by 62%",1,DRIVERS
25,1-s2.0-S0304387816300670-main_107b,'A significant literature on climate change and African is emerging,0,
26,1-s2.0-S0006320709005400-main_180,"This functional perspective is important because with the exception of the traditional uses of plants, we have a very rudimentary understanding of the functional role of biodiversity in modified tropical landscapes",0,
27,1-s2.0-S0167880913003502-main_354,There are some key questions that if addressed could identify the key CA practices that are required for maintaining or improving soil physical properties related to the ES of regulation and provision on different soil types,0,
28,1-s2.0-S0006320709005400-main_61,"As expected, plant species statistically linked with frequent fire landscape units are typical of sudanian : many are endemic to the sudanian area, many are perennial ethe constituent life form of sudanian savannas , some are woody species typical of sudanian woodlands e",1,"DRIVERS, LULC"
29,1-s2.0-S0140196313000608-main_239,"Results of the canonical variate analysis.', 'graphic': ' coords': '10,129.83,66.73,326.13,237.71', ' type': 'bitmap' , ' ' type': 'table', ' xml:id': 'tab 0', 'head': 'Table 1', 'label': '1', 'figDesc': 'Variables used to describe drivers of land change in our case studies.', 'table': 'row': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': ' , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': ' cols': '2', ' 'Variables used to describe the impacts of land changes as described in the case' , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': period b', None , 'cell': ' cols': '2', ' 'Increase soil and management practices b' , 'cell': , 'cell': ' cols': '2', ' 'Decreased number of s in farming plots b' , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': availability', None , 'cell': , 'note': 'p': 'p': 'a Variables that were mentioned in less than three case studies and therefore not included in the multivariate analysis.', ' 'a Impacts never mentioned in our case studies",0,
30,1-s2.0-S0303243414001718-main_54,"The interrelations between fire regimes and vegetation dynamics are indeed complex; they are conditioned by various climatic, biotic and anthropogenic factors involving different feedbacks and they are still not well understood either in their ecological or in their human dimensions .' , 'ref': ,",1,"DRIVERS, LULCC"
31,1-s2.0-S0301479717300713-main_44,"In a small Sahelian catchment in Niger, the increase in cultivated land from 1950 to 1998 was associated with an increase in the extent of eroded land from 7 to 16% at the expense of the",2,"DRIVERS, LULCC"
32,1-s2.0-S0304387816300670-main_210,"However, despite the small fraction of districts with these industries, they are wellrepresented across countries: 18 sample countries have a modern industry and 19 have an industry in the wider set.' , 'In our empirical work, we use these counts of modern industries and all industries as measures of 1960s extent of industrial activity in a district or",0,
33,1-s2.0-S0167880913003502-main_347,"Few studies have quantified the linkages among these different soil properties and processes and their relationships with the provision and regulation of nutrients and and with productivity as the measurements are often taken by different groups of investigators.', 'Existing CA experiments or strategically placed and newly designed experiments should be used for a comprehensive comparison of CA with conventional practices in a range of soils and climates",0,
34,1-s2.0-S003442571730041X-main_181,"However, strictly speaking, the method predicts the probability of a pixel belonging to either the or the endmember class",0,
35,1-s2.0-S095937809800003X-main_140,"The photos are acquired in the driest season in which land might be difficult to differentiate from cropped land.' , 'ref': , ' 'The extension of the 1995-field area was determined by field measurements",0,
36,1-s2.0-S0140196310000893-main_133,Due to the initial pixel size 1 km 2 the units of fire type relate to landscape fragments that juxtapose various biotopes or plant species habitats,0,
37,1-s2.0-S0264837701000205-main_126,New settlements caused an initial decrease of the vegetation due to change bushland to fields,2,"DRIVERS, LULCC"
38,1-s2.0-S095937809800003X-main_192,"Apparently, the proximity of Yale to the road made influx of people higher than Boala, which is in line with the important synergetic cause-effect relation between population-infrastructure and agricultural expansion on tropical",2,"DRIVERS, LULCC"
39,1-s2.0-S003442571730041X-main_18,"Recently, obtained a rate of 11% in the areas and a degradation of 17% in the woodlands of the northern region of Ghana for the period 1984-1999, which has a similar ecological zone as the southern Burkina Faso",2,"DRIVERS, LULCC"
40,1-s2.0-S0167880913003502-main_246a,"Such systems should be included in future CA gas emission studies.' , ' 'head': ' n': '3.', ' 'Soil quality, biodiversity and the regulation and provision of and nutrients' , 'p': ,",0,
41,1-s2.0-S0167880913003502-main_246b,'Many ecosystem processes and ES are provided by soils and the biodiversity in them,0,
42,1-s2.0-S0304387816300670-main_368a,"Spatially, we will be looking at cities and rainfall within 30 km of them, as opposed to districts that average 41,000 square km.', 'ref': ' type': 'figure', ' target': ' fig 8', ' '8' ,",0,
43,1-s2.0-S0304387816300670-main_368b,"'Data on income or product are not consistently available for African cities, so we use an indirect measure",0,
44,1-s2.0-S0304387816300670-main_347,We expect the negative effect of moisture growth on in the most industrialized countries to be reduced as the degree of industrialization declines,0,
45,1-s2.0-S0169204617300270-main_343,"The Planning Bill could help to unify laws and regulations and to support the decentralisation process, but it is just starting and must prove itself.', ""The flexibility in the use of confidence level analysis presents a promising approach to improve interdisciplinary research as exemplified in this study",0,
46,1-s2.0-S0006320709005400-main_27a,"Limited scientific work has been conducted on biodiversity in human-modified landscapes in West Africa compared with Amazonia or SE Asia .' , 'ref': ,",0,
47,1-s2.0-S0006320709005400-main_27b,"""Against this dynamic background of change, our review has a number of goals",0,
48,1-s2.0-S0140196314000536-main_123,This method uses a local regression to separate the seasonal component from the yearly component in a time series,0,
49,1-s2.0-S0301479717300713-main_480,During this time the land required for increased significantly so that large areas of natural bushland were deforested for purposes,1,"DRIVERS, LULCC"
50,1-s2.0-S235198941500102X-main_201,The capacity of some of these so-called dry species to colonize unburnt areas has also been demonstrated; thus some wooded areas may be recent,1,"DRIVERS, LULCC"
51,1-s2.0-S016788090800131X-main_146,"We presented several maps that depict the current change in , analyzed the impact of the change in farming systems on the condition of the ecosystem and recommended strategies for natural resource management.' , ' ' xml:id': 'fig 1', 'head': 'Fig",0,
52,1-s2.0-S0304387816300670-main_107a,"Even in subsistence agricultural systems, changes in the pattern should not only be analysed and understood as a relationship between population pressure or need for food and the potential of the natural resources",0,
53,1-s2.0-S0308521X12000157-main_22,"8' , ' ""These circumstances have given rise to 'foreign direct investments' FDI , also known as land deals or land grabs: the practice by which foreign governments and companies acquire rights to land and in Africa to invest in large-scale, input-intensive, mechanized management",0,
54,1-s2.0-S0140196322000143-main_174,"However, conflicting hypotheses have been reported: on the one hand an expansion into native and intensification fertilizer of cropland , and on the other hand abandonment, caused by, e.g., the civil war in Sudan may both contribute to the observed positive trends",2,"DRIVERS, LULCC, PRACTICES"
55,1-s2.0-S0006320709005400-main_174,"Landscape context is frequently neglected in study design: biodiversity in small plots of modified habitat surrounded by are likely to contain many ' 'tourist"" species unable to persist in them",0,
56,1-s2.0-S0304387816300670-main_356,"We define the primate broadly, to approximate the extent of the primate labor market, further including the areas of districts with substantial areas of lights at night contiguous to the officially defined primate",0,
57,1-s2.0-S0167880913003502-main_326,"Increases in potassium are usually attributed to the high concentrations in cereal residues, while phosphorus availability due to a a decrease in P-sorption with higher SOM content in CA topsoil",0,
58,1-s2.0-S0140196314000536-main_143,"Further, all surveyed s and s were rated according their condition and usage 1e5 and classified in large 4 m and small 4 m to obtain comparable data to other studies e.g",0,
59,1-s2.0-S0301479717300713-main_864,National and local management policies are currently addressing the decrease in woody vegetation and related soil by encouraging more sustainable practices such as planting on marginal land or the adoption of FMNR,1,"DRIVERS, PRACTICES"
60,1-s2.0-S0301479717300713-main_967,"So it looks like they are now trying to either withdraw the subsidy because it was not get into the right kind of people."", 'table': 'row': , 'cell': ', None, 'Interviews', None, None, None, None , 'cell': ' cols': '5', ' 'From cropland need it, actually get it",0,
61,1-s2.0-S0140196313000608-main_187,The decrease in rainfall has been associated with a concentration of the of the sandy soils on the dune,2,"DRIVERS, PRACTICES"
62,1-s2.0-S0264837701000205-main_56a,"Therefore, they deserve to be taken into account in theoretical thinking."" , ' 'head': 'Putting light and shade into the explanation of agricultural landscape evolution', 'p': changes, and the appropriateness of understanding changes as abrupt and driven by events as opposed to evolving gradually will be considered.', 'ref': ' type': 'figure', ' target': ' fig 0', ' '1' , ' type': 'bibr', ' target': ' b17'",0,
63,1-s2.0-S0264837701000205-main_56b,"'Hansen and Reenberg 1998 ' , ' 'The four case studies that are used in the following as illustrations are located in two different agroecological zones in Burkina Faso Fig",0,
64,1-s2.0-S0140196322000143-main_90,"In this study, individuals with heights greater than or equal to 4 m were considered as ""s"" while individuals with heights lower than 4 m were considered as ""s "" including bushes height below 2 m but excluding one year old saplings",0,
65,1-s2.0-S0169204617300270-main_133,"In addition, experts were interviewed about strengths and weaknesses of planning, since informal rules in addition to formal regulations were expected to shape the pattern Fig",0,
66,1-s2.0-S0304387816300670-main_138,"If the has a tiny or non-existent traded manufacturing sector, the effect of a decline in moisture on population is ambiguous and tends to zero",0,
67,1-s2.0-S0304387816300670-main_93,"We will model the effect of climate change on district incomes using insights from these two papers."" , ' 'head': ' n': '2.2.', ' 'Climate change in general' , 'p': ""Sub-Saharan Africa has a highly diverse and variable climate",0,
68,1-s2.0-S003442571730041X-main_189a,"A newer MODIS retrieving algorithm termed MAIAC Multi-Angle Implementation of Atmospheric Correction can deliver more cloud-free images as compared to the standard MODIS processing and this might enable the implementation of additional seasonal NDVI metrics to improve the separability of cover classes in future studies.' , 'ref':",0,
69,1-s2.0-S003442571730041X-main_189b,"'Another variable influencing seasonal NDVI metrics in general, and the SOS metric in particular, is the woody vegetation, as leaves of several Sahelian woody species sprout before the wet season starts and the herbaceous vegetation and crops germinate",0,
70,1-s2.0-S0301479717300713-main_993,"Error', 't value', 'Pr jtj ' , 'cell': , 'cell': ', None, ' cols': '2', ' ' 8.79E-05' , '2.23E-05', ' 3.95', '9.29e-05 ', ' Intercept ', None, '1.52E 00', '3.15E-01', '4.825', '2.01e-06 ' , 'cell': , 'cell': 'Signif",0,
71,1-s2.0-S0168192311001122-main_62a,"suggests for the REMO and the SMHIRCA simulations a gradual decrease of precipitation towards 2050 with, in the REMO model, some acceleration towards the middle of our century, consistent with the temporal evolution of climate change signals in longer-' , ' 'head': ' n': '2.3.', ' ' scenarios' , 'p': 'ref': ,",0,
72,1-s2.0-S0168192311001122-main_62b,The decrease in rainfall has been associated with a concentration of the of the sandy soils on the dune,2,"DRIVERS, PRACTICES"
73,1-s2.0-S0140196310000893-main_3,The specificity and complementarities of both MODIS active fire MOD14A2 and MYD14A2 and burnt area MCD45A1 products were assessed in order to characterize fire regimes and to relate them with,0,
74,1-s2.0-S0140196322000143-main_94a,"Wood dry mass was then estimated by multiplying wood volume cm 3 by the specific volume density, dw g DM cm 3 .' , 'ref': ' type': 'table', ' 'SI' , ' 'The species-specific coefficients , , and and volume densities are provided in Table 1 for C in centimeters, dw in g dry mass per cubic centimeter.' , 'formula': , ' 'head': ' n': '2.6.',",0,
75,1-s2.0-S0140196322000143-main_94b,"'Comparing woody populations between types' , 'p': 'Annual site means were calculated for woody plant density, aggregated crown areas further referred to as crown cover , aggregated basal area, foliage mass and wood mass",0,
76,1-s2.0-S235198941500102X-main_11,"Disturbance on different types in Boala and Yale villages: A cutting for fuelwood and local construction, B pruning for animal feed, C damage incurred by elephants, and D grazing impact.', 'graphic': ' coords': '7,136.74,527.19,331.54,192.36', ' type': 'bitmap' , ' ' type': 'table', ' xml:id': 'tab 0', 'head': 'Table 1', 'label': '1', 'figDesc': ' change at a local level for the period', 'table': 'row': type', '1984', None, '1997', None, '2002', None , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': lands', '6,434', '78', '3,614', '44', '3,323', '40' , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': lands', '4,411', '41', '2,282', '21', '1,879', '18' , 'cell': , 'cell': , ' ' type': 'table', ' xml:id': 'tab 1', 'head': 'Table 2', 'label': '2', 'figDesc': 'Regional dynamic in the southern area of Sissili and Ziro Provinces during 1986-2002', 'table': 'row': , 'cell': , 'cell': lands', '209,561', '17', '197,747', '16', ' 11,814', ' cols': '2', ' ' 6 0.38' , 'cell': , 'cell': , 'cell': , 'cell': , ' ' type': 'table', ' xml:id': 'tab 3', 'head': 'Table 5', 'label': '5', 'figDesc': 'Size of commercial farms possessed by agri-business actors and its proportion to the total cropland in each district in the southern region of Burkina Faso in 2002', 'table': 'row': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': ' cols': '3',",1,"DRIVERS, PRACTICES"
77,1-s2.0-S0308521X12000157-main_16,SSA's is therefore called stagnant,0,
78,1-s2.0-S0303243414001718-main_52,"In fact, a major reason why farmers grow is to gain access to fertilisers for their subsistence food",1,"DRIVERS, PRACTICES"
79,1-s2.0-S0303243414001718-main_17,"Recently, investigators demonstrated again that changes can have an accelerating effect on rainfall variations e.g",0,
80,1-s2.0-S016788090800131X-main_14,"The main crops are millet, and",1,LULC
81,1-s2.0-S235198941500102X-main_160,"These two factors were followed by shortage of off-farm employment, weak law enforcement and subsidies on farm inputs",0,
82,1-s2.0-S0006320709005400-main_59,The countries of the dense in 1 9 8 8 1 9 8 9 1 9 9 0 1 9 9 1 1 9 9 2 1 9 9 3 1 9 9 4 1 9 9 5 1 9 9 6 1 9 9 7 1 9 9 8 1 9 9 9 2 0 0 0 2 0 0 1 2 0 0 2 2 0 0 3 2 0 0 4 2 0 0 5 2 0 0 6 2 0 0 7 Year Area harvested 000 sq,0,
83,1-s2.0-S0169204617300270-main_294,"In the period 1975-1990, 1.28 million ha 26% of natural vegetation was converted to degraded and farmland while 2.23 million ha 53% of natural vegetation was converted to degraded and farmland in the period 1990-2010",2,LULCC
84,1-s2.0-S0301479717300713-main_832,"P13: historically, everywhere you go, there is this sacred grove where they leave, and it 's a gallery a with all the medicinal plants and so on",0,
85,1-s2.0-S0006320709005400-main_115,", although more species of flying beetles were caught in traps in than in near-primary",0,
86,1-s2.0-S0303243414001718-main_82,"The near infra-red channel facilitates the distinction between individual s and their environment, as s and s are the only form of vegetation that remain green during the dry season",0,
87,1-s2.0-S0168192311001122-main_246,"Changes in cropland area from 2000 to 2025 in the scenario L2 Menz et al., 2010 .', 'graphic': ' coords': '6,122.45,55.83,360.00,251.71', ' type': 'bitmap' , ' ' xml:id': 'fig 7', 'head': 'Fig",0,
88,1-s2.0-S095937809800003X-main_76,"Such relations have multiple forms which range from co-existence of livestock rearing and in the same farm units to systems based on exchange of different items such as products, manure, labour, etc.' , 'ref': ' type': 'bibr', ' 'A Reenberg et al.' , ' 'Field expansion and reallocation in the Sahel: between two principally independent production systems",0,
89,1-s2.0-S0301479717300713-main_20,"At the local scale, the size of and grazing lands increased at the expense of shrinking of cover with distinct variation in magnitude of change between villages",2,LULCC
90,1-s2.0-S030438781000043X-mainext_499a,"For each, the proportion is taken as a proxy for the ratio of length of to length of for plots of that type.', 'For Type I data sets, the specification used in the empirical analysis is:', 'ref': ' type': 'bibr', ' target': ' b74', ' 'Honor 1992 ' ,",0,
91,1-s2.0-S030438781000043X-mainext_499b,"'Here, y ihct is the investment of interest on plot i, in household h, planted to c, in year or season t",0,
92,1-s2.0-S0167880913003502-main_367,"Further research should address the differences in N availability patterns and distributions, N use efficiencies and N losses under different CA rotations.', ' How do rotations with legumes and which legumes affect N availability and use efficiency differently in CA compared to conventional systems Does increased N use efficiency translate into reductions in the amount of fertilizer N needed to attain the same yields as with conventional Do the different patterns of N availability increased immobilization and slower release with CA result in decreased N leaching Currently there are opposing processes that have been proposed, one that less available N results in less leaching and another that increased macropore continuity with CA will lead to increased losses of N through leaching",0,
93,1-s2.0-S0301479717300713-main_701,"Awen-Naam 2011 minor driver' , 'cell': types"": development of new strategies of Bugri 2008 no driver, Schindler 2009 , Awen-Naam 2011 no driver but' , 'cell': systems and possible value chains would help' , 'cell': 'Technological drivers', 'Service by extension officers Science and research', None, 'e', 'The support by extension officers for rural farmers, e.g",0,
94,1-s2.0-S095937809800003X-main_90a,"The decrease in woodland, savannas, grass savannas and body occurred mainly between 1984 and 2001, while savannas and gallery decreased mainly between 2001 and 2013",2,LULCC
95,1-s2.0-S095937809800003X-main_90b,'The field work on which the present study is based was conducted in the Oudalan Province in the northern part of Burkina Faso,0,
96,1-s2.0-S003442571730041X-main_84a,"For each year, 20 cropped fields and 20 fallowed fields were sampled to meet the requirement that each sample should cover at least one 250 m MODIS pixel.' , ' 'head': ' n': '3.3.', ' 'Extraction of seasonal NDVI signatures for cropped and fallowed fields' , 'p': 'ref':",0,
97,1-s2.0-S003442571730041X-main_84b,"'The NDVI signatures of cropped and fallowed fields for each year were composed of 46 NDVI values using the 8-day temporal resolution MODIS product , each calculated by averaging the NDVI values of the above mentioned 40 samples of cropped 20 and fallowed fields 20 generated for a given year",0,
98,1-s2.0-S0264837715302131-main_81,The main finding of this study is the loss of vegetation cover over a 29 year period which is the result of conversion for,2,LULCC
99,1-s2.0-S0301479717300713-main_616,"drought-adapted plant species using less ; plants with short maturing periods Use of wood Cutting and collecting branches and other parts for household purposes, livestock feeding or for selling Mining Extraction of sand, gravel, stones and other resources for construction or digging for gold, e.g",0,
100,1-s2.0-S003442571730041X-main_77,MOD09Q1 provides estimates of surface reflectance for two spectral bands Red band 1: 620-670 nm; NIR band 2: 841-876 nm,0,
101,1-s2.0-S0308521X12000157-main_52,"From 1984 to 2001, savannas, bare soils and agricultural lands increased by 17.55%, 18.79% and 21778.79%, respectively, while woodland, gallery , savannas and bodies decreased by 22.02%, 5.03%, 40.08% and 31.2%, respectively",2,LULCC
102,1-s2.0-S0301479717300713-main_914,"At regional scale, the annual rate of change in land, grazing land, gallery and cropland was 0.4, 0.9, 1.6 and 3.8%, respectively",2,LULCC
103,1-s2.0-S030438781000043X-mainext_567,"Results here will differ from due to the different estimator, different included controls, lack of spatial fixed effects, and use of household- effects",0,
104,1-s2.0-S0140196314000536-main_371,Most of the transformed converted to woodland 3.6% and 1.5%,2,LULCC
105,1-s2.0-S0301479717300713-main_244,"However, the consideration of four different methods for analysing drivers of has the advantage that information can be incorporated into another method and that their outcomes can be compared cross-tabulated",0,
106,1-s2.0-S030438781000043X-mainext_118,"Where credit markets exist, other assets, such as plots or attachment of salaries, may make better collateral",0,
107,1-s2.0-S0301479717300713-main_696,"2013 , Bugri 2008 , Yaro 2007 , Agyemang 2012 , Schindler' , 'cell': , education, health and economy 2009 , Owusu et al",0,
108,1-s2.0-S0169204617300270-main_36,"The British Town and Country Planning Act of specified procedures for controlling sprawl, for example, by seeking permission from the local council, and by slum clearance",0,
109,1-s2.0-S0301479717300713-main_704,"laws against bush fires, driver, Awen-Naam 2011 ' , 'cell': protection Agyemang 2012 as negative for mining and conflict with Fulani' , 'cell': in the UER, provided by Schindler 2009 ' , 'cell': None, 'Fertilizer subsidies', None, ' cols': '2', ' 'government, e.g",0,
110,1-s2.0-S0303243414001718-main_183,"Extensive changes have characterized the past fifty years, confirming the studies of , and",0,
111,1-s2.0-S016788090800131X-main_103,"During independence, informal sprawl increased considerably, and public hygiene as well as environmental quality declined",1,LULCC
112,1-s2.0-S0006320709005400-main_153,"Butterfly communities in fragments were affected by edges to a distance of at least 100 m; large fragments supported more species, but small fragments also held considerable species richness and facilitated dispersal",0,
113,1-s2.0-S0264837701000205-main_39a,"Even though the geo-statistical analysis cannot prove a change in area, 62% of the experts stated that there was an increase in area conversion of cropland to , see also .",1,LULCC
114,1-s2.0-S0264837701000205-main_39b,"""What is missing is a means to link this multitude of explanations to an overall understanding of the process that leads to transformation, an approach that handles a variety of intertwined, yet distinct explanations",0,
115,1-s2.0-S0301479717300713-main_422,"This latest expansion has come at a high environmental cost as cocoa farmers have encroached on the most important remaining protected areas of the Upper and Lower Guinea including Ta National Park, Bia National Park, Cross River National Park and Korup National Park",1,"LULCC, PRACTICES"
116,1-s2.0-S0301479717300713-main_31,"Knowledge of relevant driving forces and their impact on gains or losses in ecosystem services contributes to provide consultations for sustainable development by delivering improved decision criteria and policy advice .' , 'The objectives of our study are to identify and characterise the most relevant driving forces of in the Upper East Region located in the Sudanian and Guinean Zone of northern Ghana",0,
117,1-s2.0-S003442571730041X-main_88,"metrics were extracted on an annual basis from the MODIS NDVI time series using the Timesat software http: web.nateko.lu.se timesat timesat.asp , which is a widelyused tool to analyze satellite time series in relation to vegetation phenology",0,
118,1-s2.0-S0264837701000205-main_3,"It is proposed that models of pattern trajectories as well as of resilience of systems have to recognise a strong random element related to unforeseeable events.' Body Content: div: ' 'head': 'Introduction', 'p': ""A priori judgements about the importance or character of man's use of land dominate official documents, such as international conventions and National Environmental Action Plans, which underpin environmental and natural resource management politics",0,
119,1-s2.0-S0006320709005400-main_118,"Bird species richness was greatly reduced in fallows, and most of the species that did occur were generalists, with secondary species becoming more common in older fallows .",0,
120,1-s2.0-S0006320709005400-main_118,"'While natural has declined across West Africa, plantations, often but not always of non-native species, have been established to help meet increased demand for timber, fuelwood and pulp",2,"LULCC, PRACTICES"
121,1-s2.0-S016788090800131X-main_128,"In general, land tenure issue in the country is still a subject of contention, as the Land Reform seems not to be fully applied.' , 'ref': , ' 'Several factors contribute to a more complex dynamics pattern when studied at a regional scale",0,
122,1-s2.0-S016788090800131X-main_161a,"2013 , and only 4 percent of is irrigated compared to 18 percent globally You et al",1,PRACTICES
123,1-s2.0-S016788090800131X-main_161b,"'a Data readapted by authors after Ouedraogo 2002 .' , None , ' ' type': 'table', ' xml:id': 'tab 4', 'head': 'Table 6', 'label': '6', 'figDesc': 'Farm characteristics mean AE S.D. , farming techniques and access to land by native and migrant populations in Bola and Yale villages', 'table': 'row': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell':",0,
124,1-s2.0-S0304387816300670-main_626,"to coast 1000', ' 1.83', '47.6', None, None, None , 'cell': , 'cell': , 'cell': : heterogeneity by industry and aridity.' , None, None, None, None , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'note': 'p': 'n p o 0.1, p o 0.05, p o 0.01.' , ' ' type': 'table', ' xml:id': 'tab 3', 'head': 'Table 5', 'label': '5', 'figDesc': ""Effect of moisture change on national and primacy",0,
125,1-s2.0-S0140196310000893-main_112,"In Burkina Faso, supposedly more ""secure"" land inherited from within the lineage receives more hired labor, but is used longer before it is left",1,PRACTICES
126,1-s2.0-S0140196310000893-main_147,"Bush farms normally receive less fertilizer and regenerate under a bush- system, but shortened periods have decreased soil fertility",1,PRACTICES
127,1-s2.0-S0168192311001122-main_96,"P11: Interviewer: But if I 'm thinking of the Vea catchment, mainly here it 's . Cause there is a valley",2,PRACTICES
128,1-s2.0-S0167880913003502-main_3,Conservation can also affect the underlying biodiversity that supports many ecosystem services,0,
129,1-s2.0-S0304387816300670-main_670,"Solving the monopolistic competition problem, the equilibrium wage of a worker in the manufacturing sector has the form', 'table': 'row': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': 1000', ' 48.9 ', None, None, None, None, None, ' 55.0 ', ' 52.0 ' , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'note': 'p': 'p': '27', ' 'In the latter context, output of any final goods firm is' , ' ' type': 'table', ' xml:id': 'tab 12', 'head': None, 'label': None, 'figDesc': 'These have forms respectively:', 'table': 'row': 'cell': note: ' ' place': 'foot', ' n': '2', ' xml:id': 'foot 0', 'p': 'http: data.worldbank.org data-catalog world-development-indicators",0,
130,1-s2.0-S0304387816300670-main_479,"In summary, our rainfall and extent of industry results are not masking the effect of conflicts.' , ' 'head': ' n': '7.2.', ' 'Micro evidence on migration choices of rural residents' , 'p': traded good activity, as represented by manufacturing, when such activity exists",0,
131,1-s2.0-S0264837701000205-main_74a,"on patterns."" , ' 'head': 'Tenure and ', 'p': ,",0,
132,1-s2.0-S0264837701000205-main_74b,"""One obvious premise for land expansion is that idle, uncultivated land must be available to the farmer",0,
133,1-s2.0-S0140196322000143-main_291,"Varaince analysis of interannal differences: the probability p 0.05 of the models per is indicated by ; significant mean differences Studer-Newman-Keuls test at p 0.05 are indicated by thicked bar borders.' , ' ' xml:id': 'fig 4', 'head': 'Fig",0,
134,1-s2.0-S016788090800131X-main_23,"In the regularly manured fields close to villages and camps, the species diversity of scattered s tends to increase with species such as Faidherbia albida, Detarium microcarpum, Prosopis africana, Ziziphus mauritiana, Sclerocarya birrea, Hyphaene thebaica and Adansonia digitata",1,PRACTICES
135,1-s2.0-S0304387816300670-main_201,"Fortunately, as noted by Moradi 2005 , the Oxford Regional Economic Atlas, Africa Ady, 1965 maps all industries by type and location in Africa, based on an in-depth analysis from a variety of sources from the late 1950s and early 1960s",0,
136,1-s2.0-S0264837701000205-main_48,"Thus, perception of dynamics should include a hierarchy of spatial scales",0,
137,1-s2.0-S030438781000043X-mainext_713,"So during the dry season, you have a lot of big groups of people during the dry season cultivating or melon",1,PRACTICES
138,1-s2.0-S030438781000043X-mainext_358,"In a sample of small commercial farmers, considers plantation crops 23% of farmers , long-term investments irrigation, 3%; buildings, 73%; paddocks, 5%; and fencing, 38% , and medium term improvements such as soil and conservation or manuring as the possible investment outcomes affected by land tenure",0,
139,1-s2.0-S0169204617300270-main_38,"Manure is therefore not more easily available to the farmers and it becomes beneficial for the farmers to raise livestock on the farm to ensure manure as a means to compensate for nutrients lost during .' , ' 'head': 'The case' , ' 'head': 'The regional context', 'p': 'ref': ' type': 'figure', ' target': ' fig 2', ' '1' ,",1,PRACTICES
140,1-s2.0-S0301479717300713-main_417,"They do this surface and pit mining up to a shallow depth."" , ' continued on next page ' , 'formula': ' xml:id': 'formula 3', ' ' continued ' , ' 'head': 'Classification of driver Drivers of Interviews', 'p': 'Associated with this mining, illegal mining, they clear the land",0,
141,1-s2.0-S235198941500102X-main_42a,"The processing of single date image is faster as compared to multi-temporal classification.' , 'ref': ,",0,
142,1-s2.0-S235198941500102X-main_42b,"'In Burkina Faso, several studies have focused on protected areas and on analyzing distribution patterns of vegetation regarding land degradation or , while little attention has been paid to the underlying processes generating such change",0,
143,1-s2.0-S0169204617300270-main_101,"Takoradi is part of the twin Sekondi-Takoradi merged in 1946 with roughly 170,000 inhabitants",0,
