article_id,sentence,relation_type,matched_text_by_pattern,entities_in_match
Article_47,"Compared to 2013, there was an average reduction of 2%, equivalent to 9123.65 ha of native forest (Caatinga), while in 2019, the reduction was only 0.45% (Table In 2013, the areas occupied with pasture represented 11.7%, agriculture 7.0%, and the mosaic of agriculture and pasture 8.64%, while areas with urban infrastructure and water bodies presented an occupation of 1.06 and 1.40%, respectively (Figure Drought is costly to Brazil, for it causes strong impacts on agriculture and cattle ranching.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_48,"Settlement increased by 25.93% whereas water, vegetation, and bare land reduced by 0.08%, 16.00%, and 9.86% respectively.",CHANGE_HAS_MAGNITUDE,increased by 25.93,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_48,"Between 1991 and 2002, water decreased by 0.03 km 2 , vegetation decreased by 1.39 km 2 , settlement increased by 2.95 km 2 and bare land decreased by 2.38 km 2 ( Fig.",CHANGE_HAS_MAGNITUDE,decreased by 0.03,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_48,"Between 1991 and 2002, water decreased by 0.03 km 2 , vegetation decreased by 1.39 km 2 , settlement increased by 2.95 km 2 and bare land decreased by 2.38 km 2 ( Fig.",CHANGE_HAS_MAGNITUDE,decreased by 1.39,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_48,"Between 1991 and 2002, water decreased by 0.03 km 2 , vegetation decreased by 1.39 km 2 , settlement increased by 2.95 km 2 and bare land decreased by 2.38 km 2 ( Fig.",CHANGE_HAS_MAGNITUDE,increased by 2.95,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_48,"Between 1991 and 2002, water decreased by 0.03 km 2 , vegetation decreased by 1.39 km 2 , settlement increased by 2.95 km 2 and bare land decreased by 2.38 km 2 ( Fig.",CHANGE_HAS_MAGNITUDE,decreased by 2.38,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_50,"The area of other wooded land decreased by | Conversion of Natural Ecosystems to Agriculture: Previous IPCC reports identify land-use change as an important driver of emissions and agriculture as a key driver of land-use change, causing both deforestation and wetland drainage (P. | Infrastructure Development and Urbanisation: Although built-up areas (defined as cities, towns, villages and human infrastructure) occupy a relatively small fraction of land (around 1% of global land), since 1975 urban clusters (i.e., urban centres as well as surrounding suburbs) have expanded approximately 2.5 times (UNEP 2019; Chapter 8, this report).",CHANGE_HAS_MAGNITUDE,expanded approximately,"[{'text': 'expanded', 'label': 'CHANGE'}]"
Article_50,"If current population densities within cities remain stable, the extent of built-up areas in developed countries is expected to increase by 30% and triple in developing countries between 2000 and 2050 Urban expansion leads to landscape fragmentation and urban sprawl with effects on forest resources and land use | Box 7.1 | Case Study: Reducing the Impacts of Roads on Deforestation Summary: Rapidly expanding roads, particularly in tropical regions, are linked to forest loss, degradation, and fragmentation because the land becomes more generally accessible.",CHANGE_HAS_MAGNITUDE,increase by 30,"[{'text': 'increase', 'label': 'CHANGE'}]"
Article_50,"In 2012, deforestation rates decreased to 4,571 km 2 yr -1 .",CHANGE_HAS_MAGNITUDE,"decreased to 4,571","[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_50,"Population growth, economic development, urbanisation, technology, climate change, global trade and consumption, policy and governance are key drivers of global environmental change over recent decades The increasing trend in aquaculture production especially in South and South-East Asia through intensive methods affects existing food production and ecosystems by diverting rice fields or mangroves Currently, land degradation is estimated to have reduced productivity in 23% of the global terrestrial area, and between USD235 billion and USD577 billion in annual global crop output is at risk because of pollinator loss (IPBES 2019a).",LULC_TRANSFORMATION,rice fields,"[{'text': 'rice fields', 'label': 'LULC'}]"
Article_51,"Exposed soil in 2001 includes fallow areas, which in the year 2017 were occupied by sugar cane cultivation, citriculture, forestry and pasture, which resulted in a reduction of 77.64% in this class.",CHANGE_HAS_MAGNITUDE,reduction of 77.64,"[{'text': 'reduction', 'label': 'CHANGE'}]"
Article_51,"The urbanized areas of the RCW increased by 48.94% considering the studied period, generating a significant increase in the waterproofed areas in the basin.",CHANGE_HAS_MAGNITUDE,increased by 48.94,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_52,"In the year 2020, the global forest area was 40.2 million km 2 , which makes up 31% of the analyzed land area (land area within the Landsat ARD product extent excluding inland water).",LULC_HAS_AREA,forest area,"[{'text': 'forest', 'label': 'LULC'}]"
Article_52,"In the year 2020, the global forest area was 40.2 million km 2 , which makes up 31% of the analyzed land area (land area within the Landsat ARD product extent excluding inland water).",LULC_HAS_AREA,forest area was,"[{'text': 'forest', 'label': 'LULC'}]"
Article_52,"| Cropland Dynamics: Global cropland area increased by 11.5% between the 2000-2003 interval and the 2016-2019 interval (Table The largest net cropland area increase was in Africa (by 0.5 million km 2 ), followed by Asia and South America.",CHANGE_HAS_MAGNITUDE,increased by 11.5,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_52,"During the last 20 years, the gross global cropland area expansion (2.3 million km 2 ) was twice higher than the cropland area reduction (1.1 million km 2 ).",LULC_HAS_AREA,cropland area,"[{'text': 'cropland', 'label': 'LULC'}]"
Article_52,"During the last 20 years, the gross global cropland area expansion (2.3 million km 2 ) was twice higher than the cropland area reduction (1.1 million km 2 ).",LULC_HAS_AREA,cropland area expansion,"[{'text': 'cropland', 'label': 'LULC'}]"
Article_52,"During the last 20 years, the gross global cropland area expansion (2.3 million km 2 ) was twice higher than the cropland area reduction (1.1 million km 2 ).",LULC_HAS_AREA,cropland area,"[{'text': 'cropland', 'label': 'LULC'}]"
Article_52,"During the last 20 years, the gross global cropland area expansion (2.3 million km 2 ) was twice higher than the cropland area reduction (1.1 million km 2 ).",LULC_HAS_AREA,cropland area reduction,"[{'text': 'cropland', 'label': 'LULC'}]"
Article_52,Our bitemporal maps show that the area of perennial snow and ice within the analyzed part of the globe decreased by 11.5%.,CHANGE_HAS_MAGNITUDE,decreased by 11.5,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_52,The changes in land management priorities resulted in cropland conversion to settlements (section 3.1.2) and flooding forests and croplands by water reservoirs.,LULC_TRANSFORMATION,croplands by water,"[{'text': 'croplands', 'label': 'LULC'}, {'text': 'water', 'label': 'LULC'}]"
Article_53,"The area covered by water bodies was less than 1% (0.01 km 2 ) of the total geographical area for the year 1988-1996 (Table Results from the classified image of 2008 illustrate that more than 50% of the area was covered by dense forest, whereas open forest share was 30%.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_53,Agricultural land occupied 12.75%; built-up area covered 3.60% while barren land and water bodies collectively covered 2.66% area.,LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_53,"Due to massive afforestation programme, declaration of Sikkim as organic state (2005), stringent law enforcement in forestry sector and sustainable agroforestry systems the area under dense forest has increased by 16.4% (41.76 km 2 ) between 1988 and 2017.",CHANGE_HAS_MAGNITUDE,increased by 16.4,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_55,The result of this study indicates that there was a significant change in LULC between 1986 and 2017 particularly expanded in vegetation and built-up areas and declined in bare soil.,LULC_TRANSFORMATION,bare soil,"[{'text': 'bare soil', 'label': 'LULC'}]"
Article_55,"For instance, built-up increased by + 130.29 % with a rate of 137.06; and vegetation increased by 8.44% or a rate of 17.2.",CHANGE_HAS_MAGNITUDE,increased by +,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_55,"For instance, built-up increased by + 130.29 % with a rate of 137.06; and vegetation increased by 8.44% or a rate of 17.2.",CHANGE_HAS_MAGNITUDE,increased by 8.44,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_55,Whereas bare soil was sharply declined by -35.33% for a rate of -155.83.,LULC_TRANSFORMATION,bare soil,"[{'text': 'bare soil', 'label': 'LULC'}]"
Article_55,"Besides, the mean LST of bare soil raised from 26.51 °C to 27.33 °C in 1986 and 2017 respectively.",LULC_TRANSFORMATION,bare soil,"[{'text': 'bare soil', 'label': 'LULC'}]"
Article_55,The result of the study indicates that built-up areas were expanded from 1986 to 2017 whereas bare soil declined.,LULC_TRANSFORMATION,bare soil,"[{'text': 'bare soil', 'label': 'LULC'}]"
Article_56,The result of this study indicates that there was a significant change in LULC between 1986 and 2017 particularly expanded in vegetation and built-up areas and declined in bare soil.,LULC_TRANSFORMATION,bare soil,"[{'text': 'bare soil', 'label': 'LULC'}]"
Article_56,"For instance, built-up increased by + 130.29 % with a rate of 137.06; and vegetation increased by 8.44% or a rate of 17.2.",CHANGE_HAS_MAGNITUDE,increased by +,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_56,"For instance, built-up increased by + 130.29 % with a rate of 137.06; and vegetation increased by 8.44% or a rate of 17.2.",CHANGE_HAS_MAGNITUDE,increased by 8.44,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_56,Whereas bare soil was sharply declined by -35.33% for a rate of -155.83.,LULC_TRANSFORMATION,bare soil,"[{'text': 'bare soil', 'label': 'LULC'}]"
Article_56,"Besides, the mean LST of bare soil raised from 26.51 °C to 27.33 °C in 1986 and 2017 respectively.",LULC_TRANSFORMATION,bare soil,"[{'text': 'bare soil', 'label': 'LULC'}]"
Article_56,The result of the study indicates that built-up areas were expanded from 1986 to 2017 whereas bare soil declined.,LULC_TRANSFORMATION,bare soil,"[{'text': 'bare soil', 'label': 'LULC'}]"
Article_57,"The study indicates that the built-up area will increase by 8.37 km 2 by 2040, resulting in a reduction of 7.08 km 2 and 1.16 km 2 in protected and agricultural areas, respectively.",CHANGE_HAS_MAGNITUDE,reduction of 7.08,"[{'text': 'reduction', 'label': 'CHANGE'}]"
Article_57,The study predicts that the built-up areas will increase by 17.84% in the year 2025 and 19.69% by the year 2040.,CHANGE_HAS_MAGNITUDE,increase by 17.84,"[{'text': 'increase', 'label': 'CHANGE'}]"
Article_57,"The protected areas will decrease by 14.75% and 16.66%, agricultural areas by 2.81% and 2.72%, and barren land by 0.29% and 0.31% for the years 2025 and 2040, respectively.",CHANGE_HAS_MAGNITUDE,decrease by 14.75,"[{'text': 'decrease', 'label': 'CHANGE'}]"
Article_58,"Similarly considered as degrading land transitions are those involving the conversion of grasslands into croplands, artificial surface areas and otherlands.",LULC_TRANSFORMATION,grasslands into croplands,"[{'text': 'grasslands', 'label': 'LULC'}, {'text': 'croplands', 'label': 'LULC'}]"
Article_59,"Orchards and rain-fed agriculture lands gained 4095 ha, which matches 55% of initial area, whereas the land under irrigated crops increased by 2266 ha, about 85% of the original area.",CHANGE_HAS_MAGNITUDE,gained 4095,"[{'text': 'gained', 'label': 'CHANGE'}]"
Article_59,"Orchards and rain-fed agriculture lands gained 4095 ha, which matches 55% of initial area, whereas the land under irrigated crops increased by 2266 ha, about 85% of the original area.",CHANGE_HAS_MAGNITUDE,increased by 2266,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_59,Results indicate an unstable trend of bare and low vegetation lands which generally increased by about 50%.,CHANGE_HAS_MAGNITUDE,increased by about,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_59,"During the 15-year time frame from 1985 to 2000, the area covered by NMF declined by 2724 ha, viz.",CHANGE_HAS_MAGNITUDE,declined by 2724,"[{'text': 'declined', 'label': 'CHANGE'}]"
Article_59,"On the other hand, forests in Libya, like others in the Mediterranean region, which is one of the most affected regions by forest fires, have suffered excessive degradation by fires which are mainly due to manmade activities The area of agricultural land in 2000, in comparison to 1985, increased by 2050 ha, where the area of OR increased from 7426 ha (20.62%) to 8659 ha (24.05%) with an annual rate of 82 ha.year -1 , while the area of IC increased from 2679 ha (7.44%) to 3496 (9.71%) with an annual rate of 55 ha.year -1 (Table Libya has given the agricultural sector the largest share of the allocation of its transformation agenda through developmental projects during the 1970s and 1980s such as vertical and horizontal expansion in crop and fodder production.",CHANGE_HAS_MAGNITUDE,increased by 2050,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_59,"New farms were established in the Al-Jabal Al-Akhdar region to produce fruit and grain crops to attain self-sufficiency in food production; however, substantial areas of natural cover have been left without change for conservation purposes or to be used for natural grazing, particularly on hilly sites.",LULC_TRANSFORMATION,grain crops,"[{'text': 'grain', 'label': 'LULC'}, {'text': 'crops', 'label': 'LULC'}]"
Article_59,The local people later exploited these marginal unused areas for establishing more private fields to produce cereal crops as well as fruits and irrigated vegetables in order to capitalize on the increasingly lucrative market.,LULC_TRANSFORMATION,cereal crops,"[{'text': 'cereal', 'label': 'LULC'}, {'text': 'crops', 'label': 'LULC'}]"
Article_59,The results shown in Table produce cereal crops as well as fruits and irrigated vegetables in order to capitalize on the increasingly lucrative market.,LULC_TRANSFORMATION,cereal crops,"[{'text': 'cereal', 'label': 'LULC'}, {'text': 'crops', 'label': 'LULC'}]"
Article_59,"NMF areas, which amounted to 20,385ha (56.61%) in 2000, decreased to 17,685 ha (49.11%) in 2010, with an annual rate of 270 ha.year -1 (1.32%) (Table | LULC Change between 2000 and 2010: During the 10 years between 2000 and 2010, more forest land was cleared or changed to other land uses.",CHANGE_HAS_MAGNITUDE,"decreased to 17,685","[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_59,"The supervised classification analysis indicated an increase in the area of agricultural land in the study area during the third period (2010-2017), which was estimated at 1883 ha, where the area of agricultural land use increased from 14,583 ha (40.50% of total area) in 2010 to 15,466 ha (44.72% of total area) in 2017 (Table The results shown in Table During the third period, UB extended from 6.75% to 10.70% of the total land use and had an annual rate of increase of 8.36%, which was much higher compared to the previous periods.",CHANGE_HAS_MAGNITUDE,increase of 8.36,"[{'text': 'increase', 'label': 'CHANGE'}]"
Article_59,"The UB area increased from 2430 ha in 2010 to 3852 ha in 2017, achieving a total increase of 1422 ha and representing about 58.52% of the initial area.",CHANGE_HAS_MAGNITUDE,increase of 1422,"[{'text': 'increase', 'label': 'CHANGE'}]"
Article_59,"Land under the OR class increased by about 55% and achieved a greater rate of increase during the third period, whereas the land under the IC class increased by about 85% with a higher rate of increase achieved between 2000 and 2010, and the lowest rate was recorded during the third period from 2010 to 2017.",CHANGE_HAS_MAGNITUDE,increased by about,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_59,"Land under the OR class increased by about 55% and achieved a greater rate of increase during the third period, whereas the land under the IC class increased by about 85% with a higher rate of increase achieved between 2000 and 2010, and the lowest rate was recorded during the third period from 2010 to 2017.",CHANGE_HAS_MAGNITUDE,increased by about,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_61,"Average patch size dropped 83% from approximately 99,000-16,000 km 2 and the area occupied by the largest patch decreased 83% from ~ 4 million km 2 (45% of area) to 54,000 km 2 (~ 7.5% of area).",CHANGE_HAS_MAGNITUDE,decreased 83,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_63,"Over the last 33 years, cultivation and settlement land expanded by 15.7% and 0.34%, whereas dense forest, light vegetation, and grazing land declined by 9.2%, 4.97%, and 1.85%, respectively.",CHANGE_HAS_MAGNITUDE,expanded by 15.7,"[{'text': 'expanded', 'label': 'CHANGE'}]"
Article_63,"Over the last 33 years, cultivation and settlement land expanded by 15.7% and 0.34%, whereas dense forest, light vegetation, and grazing land declined by 9.2%, 4.97%, and 1.85%, respectively.",CHANGE_HAS_MAGNITUDE,declined by 9.2,"[{'text': 'declined', 'label': 'CHANGE'}]"
Article_63,"For example, there were about 1870 housing units in 1986 )is figure grew to 4,058 homes in 2009 | Population Pressure.",CHANGE_HAS_MAGNITUDE,"grew to 4,058","[{'text': 'grew', 'label': 'CHANGE'}, {'text': '4,058', 'label': 'CARDINAL'}]"
Article_65,"For instance, Croplands continuously declined in area until 2005 when Grassland transitioned to Cropland and Forest, increasing Cropland extent mainly in Queensland and Victoria.",LULC_CONVERSION,Grassland transitioned to Cropland,"[{'text': 'Grassland', 'label': 'LULC'}, {'text': 'transitioned', 'label': 'CHANGE'}, {'text': 'Cropland', 'label': 'LULC'}]"
Article_65,"For instance, Croplands continuously declined in area until 2005 when Grassland transitioned to Cropland and Forest, increasing Cropland extent mainly in Queensland and Victoria.",LULC_TRANSFORMATION,Grassland transitioned to Cropland,"[{'text': 'Grassland', 'label': 'LULC'}, {'text': 'transitioned', 'label': 'CHANGE'}, {'text': 'Cropland', 'label': 'LULC'}]"
Article_65,"Increases in population and population density, access to markets, and climate conditions are likely to have influenced these cropland dynamics Our definition of Grassland included pastures (managed and unmanaged), chenopods, tussock grasses, and hummock grasses covering around 66% of the Australian land mass and making this class the dominant land-cover class in the country.",LULC_TRANSFORMATION,Grassland included pastures,"[{'text': 'Grassland', 'label': 'LULC'}, {'text': 'pastures', 'label': 'LULC'}]"
Article_65,"Increases in population coupled with low population densities, growth in GDP and incentives for infrastructure construction have all influenced the magnitude and direction of urban growth Water presented 5.8% (± 1.4%) increase in area from 1985 to 2015.",LULC_TRANSFORMATION,urban growth Water,"[{'text': 'urban', 'label': 'LULC'}, {'text': 'growth', 'label': 'CHANGE'}, {'text': 'Water', 'label': 'LULC'}]"
Article_66,The changing land use and land cover patterns show that the coal mine areas have been increased by 15% and urban areas also increased by 60%.,CHANGE_HAS_MAGNITUDE,increased by 15,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_66,The changing land use and land cover patterns show that the coal mine areas have been increased by 15% and urban areas also increased by 60%.,CHANGE_HAS_MAGNITUDE,increased by 60,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_66,"settlement, water bodies, coal mines, agricultural land, fallow land, industry, vegetation, and wasteland.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_66,"The changing trend of ground surface temperature depicts that maximum and minimum temperature during the summer season has been increased about 0.15 °C and Moreover, the unused fallow land should be converted into vegetation land so that increasing surface temperature will be under control.",CHANGE_HAS_MAGNITUDE,increased about,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_67,"The winter LST in the study area increased by approximately 3.5 °C, which may be related to the decrease in the area of Dongting Lake water bodies, water fields and reed flats after the Three Gorges Reservoir was impounded.",CHANGE_HAS_MAGNITUDE,increased by approximately,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_67,"The winter LST in the study area increased by approximately 3.5 °C, which may be related to the decrease in the area of Dongting Lake water bodies, water fields and reed flats after the Three Gorges Reservoir was impounded.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_67,"(1) The LULC type in the Dongting Lake area has changed significantly, with the area of water body and paddy field declining continuously and the area of built-up land and dryland increasing gradually; these results indicate that the changes in the LULC type in the area are related to the water impoundment of the Three Gorges Dam and the ecological management policies.",LULC_TRANSFORMATION,water body,"[{'text': 'water body', 'label': 'LULC'}]"
Article_67,"(1) The LULC type in the Dongting Lake area has changed significantly, with the area of water body and paddy field declining continuously and the area of built-up land and dryland increasing gradually; these results indicate that the changes in the LULC type in the area are related to the water impoundment of the Three Gorges Dam and the ecological management policies.",LULC_TRANSFORMATION,paddy field,"[{'text': 'paddy field', 'label': 'LULC'}]"
Article_68,"The major changes include loss of 19.72 km 2 of vegetation cover in various forest types due to increasing biotic interference and over grazing, conversion of 14.77 km 2 of Dense Sal mixed forest to open mixed forest and cultivable land, and 5.0 km 2 teak plantation and Bamboo brakes to agricultural land.",CHANGE_HAS_MAGNITUDE,loss of 19.72,"[{'text': 'loss', 'label': 'CHANGE'}]"
Article_68,"(0.30%), Water bodies was about 6.45 km 2 (1.03%), Agriculture 18.6 km 2 (2.96%), Bamboo Brakes 32.89 km 2 (5.24%), Teak forest area covered 41.15 km 2 (6.56%), Open mixed forest was 92.8 km 2 (14.8%) while, Dense mixed forest and Sal mixed forest had maximum part of the watershed and occupied about 246.5 km 2 (39.32%), and 186.49 km 2 (29.49%) area, respectively.",LULC_TRANSFORMATION,Water bodies,"[{'text': 'Water bodies', 'label': 'LULC'}]"
Article_68,"(0.30%), Water bodies was about 6.45 km 2 (1.03%), Agriculture 18.6 km 2 (2.96%), Bamboo Brakes 32.89 km 2 (5.24%), Teak forest area covered 41.15 km 2 (6.56%), Open mixed forest was 92.8 km 2 (14.8%) while, Dense mixed forest and Sal mixed forest had maximum part of the watershed and occupied about 246.5 km 2 (39.32%), and 186.49 km 2 (29.49%) area, respectively.",LULC_HAS_AREA,Agriculture 18.6,"[{'text': 'Agriculture', 'label': 'LULC'}]"
Article_68,"(0.30%), Water bodies was about 6.45 km 2 (1.03%), Agriculture 18.6 km 2 (2.96%), Bamboo Brakes 32.89 km 2 (5.24%), Teak forest area covered 41.15 km 2 (6.56%), Open mixed forest was 92.8 km 2 (14.8%) while, Dense mixed forest and Sal mixed forest had maximum part of the watershed and occupied about 246.5 km 2 (39.32%), and 186.49 km 2 (29.49%) area, respectively.",LULC_HAS_AREA,forest area,"[{'text': 'forest', 'label': 'LULC'}]"
Article_68,"(0.30%), Water bodies was about 6.45 km 2 (1.03%), Agriculture 18.6 km 2 (2.96%), Bamboo Brakes 32.89 km 2 (5.24%), Teak forest area covered 41.15 km 2 (6.56%), Open mixed forest was 92.8 km 2 (14.8%) while, Dense mixed forest and Sal mixed forest had maximum part of the watershed and occupied about 246.5 km 2 (39.32%), and 186.49 km 2 (29.49%) area, respectively.",LULC_HAS_AREA,forest area covered,"[{'text': 'forest', 'label': 'LULC'}]"
Article_68,"Interestingly, in 2018 map water bodies was less than 1% (5.29 km 2 ) of the total geographical area, 4.87% area was covered by Bamboo Brakes, and Teak forest area was covered 38.54 km 2 (6.14%) which is reduction in the area with respect to 2008.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_68,"Interestingly, in 2018 map water bodies was less than 1% (5.29 km 2 ) of the total geographical area, 4.87% area was covered by Bamboo Brakes, and Teak forest area was covered 38.54 km 2 (6.14%) which is reduction in the area with respect to 2008.",LULC_HAS_AREA,forest area,"[{'text': 'forest', 'label': 'LULC'}]"
Article_68,"Interestingly, in 2018 map water bodies was less than 1% (5.29 km 2 ) of the total geographical area, 4.87% area was covered by Bamboo Brakes, and Teak forest area was covered 38.54 km 2 (6.14%) which is reduction in the area with respect to 2008.",LULC_HAS_AREA,forest area was,"[{'text': 'forest', 'label': 'LULC'}]"
Article_68,The results of change detection as per Normalized difference moisture index (NDMI) revealed in the study area decreased by almost 1.42% ( Table | Conclusion: AABR has vast forest area with high anthropogenic pressure for resource utilization by tribes and other forest dwelling communities.,CHANGE_HAS_MAGNITUDE,decreased by almost,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_69,The cultivated land with DI ranging from 80 to 100 decreased by 1915.21 km 2 .,CHANGE_HAS_MAGNITUDE,decreased by 1915.21,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_69,"The construction land with DI ranging from 50 to 100 reached 593.24 km 2 , with the areal proportion increasing to 2.05%.",CHANGE_HAS_MAGNITUDE,increasing to 2.05,"[{'text': 'increasing', 'label': 'CHANGE'}]"
Article_69,"The cultivated land with a high DI (80 < DI ≤ 100) decreased by 8166.05 km 2 , and the areal proportion decreased from 67.13% to 38.96%.",CHANGE_HAS_MAGNITUDE,decreased by 8166.05,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_69,"The construction land with DI ranging from 50 to 100 increased from 287.24 km 2 to 2494.91 km 2 , and the areal proportion increased to 8.61%.",CHANGE_HAS_MAGNITUDE,increased to 8.61,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_69,"Among them, the grassland would have the largest increase mainly at the expense of cultivated land, which would sharply increase by 1247.61 km 2 , especially in Juye County, Zoucheng City, Sishui and Ningyang Counties.",CHANGE_HAS_MAGNITUDE,increase by 1247.61,"[{'text': 'increase', 'label': 'CHANGE'}]"
Article_70,"A significant forest cover loss of around 1117.17 ha (16%) was recorded in the FKWS impact area between 1994 and 2021, with the hugest proportion of 867.78 ha (12.24%) deforested in the first period (1994)(1995)(1996)(1997)(1998)(1999)(2000)(2001).",CHANGE_HAS_MAGNITUDE,loss of around,"[{'text': 'loss', 'label': 'CHANGE'}]"
Article_70,"Agricultural land also declined by 593.73 ha (8.37%) within the entire period, despite its initial increase of 392.04 ha (5.53%) between 2001 and 2010, being the primary driver of earlier deforestation.",CHANGE_HAS_MAGNITUDE,declined by 593.73,"[{'text': 'declined', 'label': 'CHANGE'}]"
Article_70,"Agricultural land also declined by 593.73 ha (8.37%) within the entire period, despite its initial increase of 392.04 ha (5.53%) between 2001 and 2010, being the primary driver of earlier deforestation.",CHANGE_HAS_MAGNITUDE,increase of 392.04,"[{'text': 'increase', 'label': 'CHANGE'}]"
Article_70,"However, in the recent decade (2010)(2011)(2012)(2013)(2014)(2015)(2016)(2017)(2018)(2019)(2020)(2021), settlement expansion of 963.90 ha (13.59%) due to massive human migration in the area contributed to the most remarkable overall land cover change of 1731.51 ha (24.42%).",CHANGE_HAS_MAGNITUDE,expansion of 963.90,"[{'text': 'expansion', 'label': 'CHANGE'}]"
Article_70,"However, in the recent decade (2010)(2011)(2012)(2013)(2014)(2015)(2016)(2017)(2018)(2019)(2020)(2021), settlement expansion of 963.90 ha (13.59%) due to massive human migration in the area contributed to the most remarkable overall land cover change of 1731.51 ha (24.42%).",CHANGE_HAS_MAGNITUDE,change of 1731.51,"[{'text': 'change', 'label': 'CHANGE'}]"
Article_70,"Of these changes, the hugest forest change was recorded within the earliest seven (7) years evaluated In the recent decade, although the direct conversion of forest for agriculture in the protected area was no longer prominent, there has been continual cultivation of a large expanse of bare land.",LULC_TRANSFORMATION,forest for agriculture,"[{'text': 'forest', 'label': 'LULC'}, {'text': 'agriculture', 'label': 'LULC'}]"
Article_71,"This means that as the PD of CL, ED of bare soil and residential and MPA of GL increase, the proportion of DF patches tends to decrease in the watersheds.",LULC_TRANSFORMATION,bare soil,"[{'text': 'bare soil', 'label': 'LULC'}]"
Article_72,The total carbon stock of vegetation affected by land cover change decreased by 463.96 × 10 4 t and 193.50 × 10 4 t in 2000-2010 and 2010-2020 respectively.,CHANGE_HAS_MAGNITUDE,decreased by 463.96,"[{'text': 'decreased', 'label': 'CHANGE'}, {'text': '463.96', 'label': 'CARDINAL'}]"
Article_72,"Jining City covers Weishan Lake, the largest freshwater lake in northern China, and the construction of water storage facilities such as dams and river embankments, as well as river ditches on agricultural land and aquaculture ponds, has led to large changes in the area of water bodies in Jining City The change in water bodies and wetland conversion is mainly distributed in Dongying City.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_72,"Jining City covers Weishan Lake, the largest freshwater lake in northern China, and the construction of water storage facilities such as dams and river embankments, as well as river ditches on agricultural land and aquaculture ponds, has led to large changes in the area of water bodies in Jining City The change in water bodies and wetland conversion is mainly distributed in Dongying City.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_72,"Jining City is an area where the conversion of water bodies and cultivated land is more apparent, related to the construction of water storage facilities, river ditches and aquaculture ponds, and also linked to the results of remote sensing image interpretation.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_72,The conversion of water bodies and wetland in Dongying City is related to policy factors.,LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_75,"The analysis indicates that over the past 32 years, bare land, saline land, agricultural, industrial, and residential areas have increased by about 8, 6.2, 2.7, 0.63, and 0.48%, respectively; while rangeland area was decreased by 18%.",CHANGE_HAS_MAGNITUDE,decreased by 18,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_75,"Results also indicate that given the predicted LC for year 2040 in comparison with the reference year (2017), saline land, agricultural, industrial, and residential areas will be likely to continue to increase by about 3, 1.5, 0.7, and 0.8%, respectively, whereas bare land and rangeland will most likely decrease by about 4.55 and 1.45%, respectively.",CHANGE_HAS_MAGNITUDE,decrease by about,"[{'text': 'decrease', 'label': 'CHANGE'}]"
