paper_id,chunk_idx,TEXT_SEGMENT,SOURCE,RELATION,TARGET,RELATION_VALID,
68,89,"LU/LC change has been explained for various application areas such as deforestation, urban expansion, agriculture/crop damage, vegetation loss and wetland change.",N/A,N/A,N/A,not relevant sentence,
68,7,"We can see LU/LC change happening during the loss or development of forests, agricultural land, bodies of water and urban areas.",forests,DECREASE,null,0,"sentence is not relevant (it's a definition os LU/LC changes), and talk about ""loss"" OR ""development"""
68,7,"We can see LU/LC change happening during the loss or development of forests, agricultural land, bodies of water and urban areas.",agricultural land,INCREASE,null,0,"sentence is not relevant (it's a definition os LU/LC changes), and talk about ""loss"" OR ""development"""
68,7,"We can see LU/LC change happening during the loss or development of forests, agricultural land, bodies of water and urban areas.",bodies of water,DECREASE,null,0,"sentence is not relevant (it's a definition os LU/LC changes), and talk about ""loss"" OR ""development"""
68,7,"We can see LU/LC change happening during the loss or development of forests, agricultural land, bodies of water and urban areas.",urban areas,INCREASE,null,0,"sentence is not relevant (it's a definition os LU/LC changes), and talk about ""loss"" OR ""development"""
36,39,"The LCM determines how the factors influence future LULC change, how much land cover change took place between earlier and later LULC, and then calculates a relative amount of transitions 
 The trend variations of LULC changes for the years 1990, 2005, and 2019 were analyzed to predict future years of the watershed.",N/A,N/A,N/A,not relevant sentence,
34,32,"Comparing the LULC data of the years 1990, 2000, and 2013, the most obvious LULC changes occurred in the agricultural and forest land use classes (Table 
 (177.8kmÂ²), 12.5% was grassland (29.3 kmÂ²), and 11.4% was wetland (26.7 kmÂ²).",agricultural,CHANGE_TO,null,,
34,32,"Comparing the LULC data of the years 1990, 2000, and 2013, the most obvious LULC changes occurred in the agricultural and forest land use classes (Table 
 (177.8kmÂ²), 12.5% was grassland (29.3 kmÂ²), and 11.4% was wetland (26.7 kmÂ²).",forest land use,CHANGE_TO,null,,
18,87,"Categories of LULC changes, especially the loss of natural resources (agricultural land and water bodies), create environmental effects by adding loss in biodiversity, destroy habitats that support biodiversity, increase greenhouse effects and surface temperature, disturbs the hydrological cycle and increase surface runoff, soil erosion, and flooding.",agricultural land,DECREASE,null,1,not sure the sentence is relevant
18,87,"Categories of LULC changes, especially the loss of natural resources (agricultural land and water bodies), create environmental effects by adding loss in biodiversity, destroy habitats that support biodiversity, increase greenhouse effects and surface temperature, disturbs the hydrological cycle and increase surface runoff, soil erosion, and flooding.",water bodies,DECREASE,null,1,not sure the sentence is relevant
11,2,"LULC changes are fundamental processes on the earth's surface and have significant impacts on human society, climate, biodiversity, hydrological cycles, ecosystems, biogeochemical cycles and many other processes 
 Changes in land cover have become key components of global environmental change and represent impact of human activity 
 Apositive side of LULC change is agricultural land expansion, which increases food production for a rapidly growing population.",agricultural land,INCREASE,null,0,"sentence not relevant (it talks about agricultural land expansion in general, as a postivie side of LULC change)"
42,16,LULC change has a large impact on the environmental status of a region or an area.,N/A,N/A,N/A,not relevant sentence,
19,0,Changes in land use/land cover (LULC) are a global environmental concern that has a significant impact on sustainable land and water resource management and development as well as hydrological processes.,N/A,N/A,N/A,not relevant sentence,
