Entity,Type
271.19%,PERCENT
161.99,CARDINAL
602.19.8 km,QUANTITY
forest,LAND_COVER
Duhok,ORG
1988,DATE
2017,DATE
forest,LAND_COVER
forest,LAND_COVER
forest,LAND_COVER
increased,VRC
between 1998 and 2017,DATE
increase,VRC
2.36%,PERCENT
2017,DATE
8.76%,PERCENT
2060,DATE
Urbanization,LULCC_PROCESS
LULCC,ORG
Dong Trieu District,FAC
Vietnam,GPE
Past Two Decades,DATE
Quang Ninh province,PERSON
Vietnam,GPE
Dong Trieu,PERSON
the past two decades,DATE
six,CARDINAL
forest,LAND_COVER
Dong Trieu,FAC
2000,DATE
2010,DATE
2019,DATE
Landsat,NORP
the past twenty years,DATE
decrease,VRC
9.1%,PERCENT
increases,VRC
8.1%,PERCENT
6.8%,PERCENT
DFR,ORG
DFMR,ORG
DFU,ORG
DFW,ORG
forest,LAND_COVER
DFMR,ORG
LCM,ORG
Nashe Watershed,GPE
Upper Blue Nile Basin,ORG
Ethiopia Change,ORG
Landsat,NORP
LCM (Land Change Modeler,ORG
Nashe,PERSON
Ethiopia,GPE
the Upper Blue Nile,ORG
"94,578",CARDINAL
Landsat,PERSON
"2019, 2005",DATE
1990,DATE
the years 2035,DATE
2050,DATE
LCM,ORG
TerrSet Geospatial Monitoring and Modeling System,ORG
CA-Markov,PRODUCT
Markov,PERSON
2019,DATE
Kappa,ORG
forest,LAND_COVER
1990,DATE
"41,587.21",CARDINAL
increased,VRC
"57,868.95",CARDINAL
2019,DATE
39.15%,PERCENT
forest,LAND_COVER
annually,DATE
48.38%,PERCENT
19.58%,PERCENT
26.23%,PERCENT
forest,LAND_COVER
16.94%,PERCENT
2019,DATE
8.07%,PERCENT
2050,DATE
expanded,VRC
"69,021.20 ha and 69,264.44",CARDINAL
2035,DATE
2050,DATE
"57,868.95",CARDINAL
2019,DATE
the coming years,DATE
forest,LAND_COVER
forest,LAND_COVER
